Item ID,Item Name,,Economy,Double,"Single/
ICU","Classic 
Deluxe",Suite,,,,
BB008,Donor Screening for Plateletpheresis,,2500,2500,2500,2500,2500,,,,
BB009,FFP for INTAS (Per Litre),,3250,3250,3250,3250,3250,,,,
BB010,Fresh Frozen Plasma processing charges,,700,700,700,700,700,,,,
BB011,Plateletpheresis Processing - Blood Centre,,9000,9000,9000,9000,9000,,,,
BB012,Pediatric Unit Sealing Processing Charges - Blood Centre,,100,100,100,100,100,,,,
BB013,Pediatric Packed Red Cell Aliquot Processing Charges - Blood Centre,,500,500,500,500,500,,,,
BB014,Packed Red Blood Cells processing charges,,1600,1600,1600,1600,1600,,,,
BB015,Packed Red Blood Cells Issue processing charges,,1000,1000,1000,1000,1000,,,,
BB016,PRBC Reserved Processing - Blood Centre,,600,600,600,600,600,,,,
BB017,Random Donor Platelet Concentrates(RDPC)Processing,,1000,1000,1000,1000,1000,,,,
BB018,Therapeutic Phlebotomy Processing - Blood Centre,,500,500,500,500,500,,,,
BB019,Whole Blood processing charges,,1600,1600,1600,1600,1600,,,,
BB020,Antibody Titer Processing Charges,,1000,1000,1000,1000,1000,,,,
BB021,Donor Blood Group Processing Charges,,100,100,100,100,100,,,,
BB022,Donor CBC Processing Charges,,200,200,200,200,200,,,,
BB023,Leucodepleted PRBC Filter Processing Charges,,2000,2000,2000,2000,2000,,,,
BB024,Blood Transfusion charges(One time),,1000,1000,1000,1000,1000,,,,
BB025,Therapeutic Plasma Exchange- Blood Bank,,16000,16000,16000,16000,16000,,,,
BB026,Blood Transfusion Charges ( One time ),,1000,1000,1000,1000,1000,,,,
BB027,Cryo Poor Plasma Processing - Blood Centre,,400,400,400,400,400,,,,
BB028,PRP Processing Charges - Per Product,,550,550,550,550,550,,,,
BB029,Plasmapheresis Procedure Charge,,10000,10000,10000,10000,10000,,,,
CA001,Abdominal aorta Scanning,,760,760,760,760,760,,,,
CA002,Ambulatory B.P. Monitoring 24 hrs,,1800,1800,1800,1800,1800,,,,
CA003,Arterial Line-,,650,650,650,650,650,,,,
CA004,Carotid Doppler (Cardiology),,2500,2500,2500,2500,2500,,,,
CA005,Central Venous Line Introduction,,650,650,650,650,650,,,,
CA006,Dobutamine Stress Echo,,5000,5000,5000,5000,5000,,,,
CA007,ECG,,350,350,350,350,350,,,,
CA008,Echocardiography (Echo),,2200,2200,2200,2200,2200,,,,
CA009,Echo Bedside,,2550,2950,2950,2950,2950,,,,
CA010,Echo Review (Screening),,900,900,900,900,900,,,,
CA011,Fetal Echocardiography,,3500,3500,3500,3500,3500,,,,
CA012,Fractional Flow Reserve (FFR),,35000,35000,35000,35000,35000,,,,
CA013,Groin Doppler Both Limbs,,3050,3050,3050,3050,3050,,,,
CA014,Groin Doppler Single Limb,,2350,2350,2350,2350,2350,,,,
CA015,Holter Affixation Charge for Outside,,340,340,340,340,340,,,,
CA016,Holter monitoring 24 Hour,,2500,2500,2500,2500,2500,,,,
CA017,Holter Monitoring 48 Hour,,5000,5000,5000,5000,5000,,,,
CA018,Holter Monitoring 72 Hour,,7500,7500,7500,7500,7500,,,,
CA019,Insertion of IABP,,15000,15000,15000,15000,15000,,,,
CA020,IVC Filter,,41000,41000,41000,41000,41000,,,,
CA021,IVUS (Intravascular Ultrasound),,34200,34200,34200,34200,34200,,,,
CA022,Optical Coherence Tomography (OCT),,41000,41000,41000,41000,41000,,,,
CA023,Pacemaker Follow up Service Charge,,1000,1000,1000,1000,1000,,,,
CA024,Paediatric Echo / TEE,,2500,2500,2500,2500,2500,,,,
CA025,Pericardial Tapping,,3000,3000,3000,3000,3000,,,,
CA026,Peripheral Vascular Doppler Arterial Both Limbs,,5250,5250,5250,5250,5250,,,,
CA027,Peripheral Vascular Doppler Venous Single Limb,,2650,2650,2650,2650,2650,,,,
CA028,Permacath Insertion.,,4500,4500,4500,4500,4500,,,,
CA029,PLEURAL TAPPING,,2200,2600,3200,3800,4200,,,,
CA030,PTCA 2 Stage/Redo Charges,,38950,38950,38950,38950,38950,,,,
CA031,PTCA Cath Lab Charges,,21650,21650,21650,21650,21650,,,,
CA032,Radial Doppler,,1600,1600,1600,1600,1600,,,,
CA033,Renal Doppler-Cardiology,,3050,3050,3050,3050,3050,,,,
CA034,Replacement Service Charges,,4750,4750,4750,4750,4750,,,,
CA035,Stress Echocardiography,,3200,3200,3200,3200,3200,,,,
CA036,TEE Echo,,3000,3000,3000,3000,3000,,,,
CA037,Temporary Pacemaker,,9000,9000,9000,9000,9000,,,,
CA038,Test analysis report in CD (Echo/Neuro),,500,500,500,500,500,,,,
CA039,HEAD UP TILT TEST,,3500,3500,3500,3500,3500,,,,
CA040,Tread Mill Test,,1500,1950,1950,1950,1950,,,,
CA041,DC CARDIOVERSION,,2000,2000,2000,2000,2000,,,,
CA042,Implantable loop recorder (ILR) Procedure Charges,,20000,20000,20000,20000,20000,,,,
CA043,Rotablation,,42000,42000,42000,42000,42000,,,,
CA044,Trans-oesophageal echocardiogram ( TOE),,3000,3000,3000,3000,3000,,,,
CA045,Echo Screening,,900,900,900,900,900,,,,
CA046,Fluoroscopy Evaluation of Mechanical Cardiac Valves,,500,500,500,500,500,,,,
CA047,Pediatric Echo,,2500,2500,2500,2500,2500,,,,
CA048,Catheter Directed Thrombolysis,,35000,35000,35000,35000,35000,,,,
DN001,All Ceremic Crown Gr I,,12000,12000,12000,12000,12000,,,,
DN002,All Ceremic Crown Gr II lava/ procera,,15000,15000,15000,15000,15000,,,,
DN003,Apicoectomy Grade I,,6000,6000,6000,6000,6000,,,,
DN004,Apicoectomy Grade II,,9000,9000,9000,9000,9000,,,,
DN005,Bleaching Trays,,2500,2500,2500,2500,2500,,,,
DN006,Bleaching-Bleaching Grade 1,,9500,9500,9500,9500,9500,,,,
DN007,Bleaching-Bleaching Grade 2,,11500,11500,11500,11500,11500,,,,
DN008,Bleaching-Zoom Follow up,,3700,3700,3700,3700,3700,,,,
DN009,Bone Graft Gr I,,12728,12728,12728,12728,12728,,,,
DN010,Bone Graft Gr II,,14744,14744,14744,14744,14744,,,,
DN011,Canine Exposure (Buccal APPROACH),,5000,5000,5000,5000,5000,,,,
DN012,Canine Exposure (Palatal APPROACH),,6000,6000,6000,6000,6000,,,,
DN013,Ceramic Inlay,,6000,6000,6000,6000,6000,,,,
DN014,Closure of OAF Gr-I(anterior),,7440,7440,7440,7440,7440,,,,
DN015,Co-Cr Crown,,3500,3500,3500,3500,3500,,,,
DN016,Complete Denture Grade I,,25000,25000,25000,25000,25000,,,,
DN017,Complete Denture Grade I- Half,,15000,15000,15000,15000,15000,,,,
DN018,Complete Denture Grade II,,30000,30000,30000,30000,30000,,,,
DN019,Complete Denture Grade II - Half,,20000,20000,20000,20000,20000,,,,
DN020,Composite Filling Class I,,1200,1200,1200,1200,1200,,,,
DN021,Composite Filling Class III,,1800,1800,1800,1800,1800,,,,
DN022,Composite Inlay,,3200,3200,3200,3200,3200,,,,
DN023,Core Build up,,2500,2500,2500,2500,2500,,,,
DN024,Crown Removal(per tooth),,1500,1500,1500,1500,1500,,,,
DN025,Cyst Enucleation Grade I,,6300,6300,6300,6300,6300,,,,
DN026,Cyst Enucleation Grade II,,7500,7500,7500,7500,7500,,,,
DN027,Cyst Marsupilization,,10000,10000,10000,10000,10000,,,,
DN028,Dental Implant Grade I,,35000,35000,35000,35000,35000,,,,
DN029,Dental Implant Grade II,,40000,40000,40000,40000,40000,,,,
DN030,Dental Suturing,,1000,1000,1000,1000,1000,,,,
DN031,Extraction of Lower-08 without Surgery attempt,,2500,2500,2500,2500,2500,,,,
DN032,Extraction of Upper-08 without Surgery attempt,,2000,2000,2000,2000,2000,,,,
DN033,Extractions - Removal Of Mobile Tooth,,800,800,800,800,800,,,,
DN034,Extractions of Fractured Crown,,1000,1000,1000,1000,1000,,,,
DN035,Extractions of Fractured Root- Grade I,,4000,4000,4000,4000,4000,,,,
DN036,Extractions of Fractured Root- Grade II,,5000,5000,5000,5000,5000,,,,
DN037,Extractions–Decayed/Over Retained Dec Tooth 1,,800,800,800,800,800,,,,
DN038,Extractions-Dental Surgical Removal of Tooth Gr 3,,6000,6000,6000,6000,6000,,,,
DN039,Extractions-Removal Of Decayed Root,,1800,1800,1800,1800,1800,,,,
DN040,Extractions-Removal of Tooth Grade 1,,1000,1000,1000,1000,1000,,,,
DN041,Extractions-Removal of Tooth grade-2,,1500,1500,1500,1500,1500,,,,
DN042,Feeding appliance,,5000,5000,5000,5000,5000,,,,
DN043,Fibre Post,,3000,3000,3000,3000,3000,,,,
DN044,Fixed Appliance Ceramic (both arches),,50000,50000,50000,50000,50000,,,,
DN045,Fixed Appliance Ceramic (Single arches),,30000,30000,30000,30000,30000,,,,
DN046,Fixed Appliance Metal(Both arch),,40000,40000,40000,40000,40000,,,,
DN047,Fixed Appliance Metal(single arch),,25000,25000,25000,25000,25000,,,,
DN048,Fixed Appliance self ligation metal(SA),,45000,45000,45000,45000,45000,,,,
DN049,Fixed Appliance Therapy-Growth Modification Gr 1,,10000,10000,10000,10000,10000,,,,
DN050,Fixed Appliance Therapy-Growth Modification Gr 2,,15000,15000,15000,15000,15000,,,,
DN051,Fixed Appliance Therapy-Lingual Treatment Gr 2,,100000,100000,100000,100000,100000,,,,
DN052,Fixed Appliance Therapy-Lingual Treatment Gr 3,,110000,110000,110000,110000,110000,,,,
DN053,Fixed Appliance Therapy-Self ligating Metal Brack,,52000,52000,52000,52000,52000,,,,
DN054,Fixed Appliance Therapy-Space Maintainer -2,,5000,5000,5000,5000,5000,,,,
DN055,Fixed Appliance Therapy-Study Model,,3000,3000,3000,3000,3000,,,,
DN056,Flap Surgery Grade I,,10000,10000,10000,10000,10000,,,,
DN057,Flap Surgery Grade II,,12000,12000,12000,12000,12000,,,,
DN058,Flap Surgery Grade III,,15000,15000,15000,15000,15000,,,,
DN059,Flexible Resin System Gr III ( Single arch denture),,20000,20000,20000,20000,20000,,,,
DN060,Fluoride Varnish Application (per arch),,2000,2000,2000,2000,2000,,,,
DN061,GIC Filling,,1000,1000,1000,1000,1000,,,,
DN062,Gingival Curettage,,1500,1500,1500,1500,1500,,,,
DN063,Gingivectomy,,2000,2000,2000,2000,2000,,,,
DN064,Gum Curettage And Prophylaxis Grade 1,,3000,3000,3000,3000,3000,,,,
DN065,Gum Curettage And Prophylaxis Grade 2,,4000,4000,4000,4000,4000,,,,
DN066,Gum Curettage And Prophylaxis Grade 3,,5000,5000,5000,5000,5000,,,,
DN067,Gum Curettage And Prophylaxis Grade 4,,6000,6000,6000,6000,6000,,,,
DN068,Gum Curettage And Prophylaxis Grade 5,,14000,14000,14000,14000,14000,,,,
DN069,Habit Breaking Appliance,,4500,4500,4500,4500,4500,,,,
DN070,Impaction Grade I,,6000,6000,6000,6000,6000,,,,
DN071,Impaction Grade II,,8000,8000,8000,8000,8000,,,,
DN072,Impaction Grade III,,12000,12000,12000,12000,12000,,,,
DN073,Implant Crown Gr I,,6000,6000,6000,6000,6000,,,,
DN074,Implant Crown Gr II,,8000,8000,8000,8000,8000,,,,
DN075,Implant Crown Gr III,,14000,14000,14000,14000,14000,,,,
DN076,Metal Ceremic Crown ,,5500,5500,5500,5500,5500,,,,
DN077,Miscellaneous-Breakage Charges,,1000,1000,1000,1000,1000,,,,
DN078,Miscellaneous-Local Anesthesia Block (Diagnostic,,500,500,500,500,500,,,,
DN079,Miscellaneous-Polishing,,2000,2000,2000,2000,2000,,,,
DN080,Miscellaneous-Splint Grade 2,,5000,5000,5000,5000,5000,,,,
DN081,Mucogingival Surgery Gr I,,12000,12000,12000,12000,12000,,,,
DN082,Mucogingival Surgery Gr II,,15000,15000,15000,15000,15000,,,,
DN083,Obturators-Definative,,12000,12000,12000,12000,12000,,,,
DN084,Operculectomy,,3000,3000,3000,3000,3000,,,,
DN085,OPG X RAY,,800,800,800,800,800,,,,
DN086,Oral Splint,,3000,3000,3000,3000,3000,,,,
DN087,Oral Surgical Proce-Cyst Marsupilization Gr 2,,15000,15000,15000,15000,15000,,,,
DN088,Oral Surgical Proce-Drainage of I.O Abscess Gr 1,,5000,5000,5000,5000,5000,,,,
DN089,Oral Surgical Procedures-Alveolectomy  Grade - I,,3000,3000,3000,3000,3000,,,,
DN090,Oral Surgical Procedures-Alveolectomy Grade 2,,4000,4000,4000,4000,4000,,,,
DN091,Oral Surgical Procedures-Alveoloplasty Grade - 1,,3000,3000,3000,3000,3000,,,,
DN092,Oral Surgical Procedures-Alveoloplasty Grade - 2,,4000,4000,4000,4000,4000,,,,
DN093,Oral Surgical Procedures-Biopsy - Large,,6000,6000,6000,6000,6000,,,,
DN094,Oral Surgical Procedures-Biopsy - Medium,,3500,3500,3500,3500,3500,,,,
DN095,Oral Surgical Procedures-Biopsy - Small,,2500,2500,2500,2500,2500,,,,
DN096,Oral Surgical Procedures-Bone Graft - Intra oral,,8000,8000,8000,8000,8000,,,,
DN097,Oral Surgical Procedures-Bone Graft Grade 1,,8000,8000,8000,8000,8000,,,,
DN098,Oral Surgical Procedures-Bone Graft Grade 2,,13000,13000,13000,13000,13000,,,,
DN099,Oral Surgical Procedures-Closure of OAF Grade-I,,5000,5000,5000,5000,5000,,,,
DN100,Oral Surgical Procedures-Cyst Enucleation Large,,10000,10000,10000,10000,10000,,,,
DN101,Oral Surgical Procedures-Dental Suturing,,1200,1200,1200,1200,1200,,,,
DN102,Oral Surgical Procedures-Dental Suturing Remova,,500,500,500,500,500,,,,
DN103,Oral Surgical Procedures-Drainage of Abscess,,1000,1000,1000,1000,1000,,,,
DN104,Oral Surgical Procedures-Drainage of E.O Absess,,6000,6000,6000,6000,6000,,,,
DN105,Oral Surgical Procedures-Frenectomy Major,,6000,6000,6000,6000,6000,,,,
DN106,Oral Surgical Procedures-Frenectomy Minor,,3000,3000,3000,3000,3000,,,,
DN107,Oral Surgical Procedures-IMF,,15000,15000,15000,15000,15000,,,,
DN108,Oral Surgical Procedures-Nerve Avulsion,,18000,18000,18000,18000,18000,,,,
DN109,Oral Surgical Procedures-Ridge Splitting,,10000,10000,10000,10000,10000,,,,
DN110,Oral Surgical Procedures-Sinus Lift Direct-( Per,,35000,35000,35000,35000,35000,,,,
DN111,Oral Surgical Procedures-Sinus Lift Indirect,,10000,10000,10000,10000,10000,,,,
DN112,Oral Surgical Procedures-Suturing Laceration,,2000,2000,2000,2000,2000,,,,
DN113,Oral Surgical Procedures-TMJ - Arthocentesis- pe,,18000,18000,18000,18000,18000,,,,
DN114,Oral Surgical Procedures-Tumour Excision,,18000,18000,18000,18000,18000,,,,
DN115,Oral Surgical Procedures-Vestibuloplasty,,10000,10000,10000,10000,10000,,,,
DN116,Ortho Breakage Charges,,1000,1000,1000,1000,1000,,,,
DN117,PFM Crown,,5500,5500,5500,5500,5500,,,,
DN118,Pit & Fissure Sealant ( per tooth),,10000,10000,10000,10000,10000,,,,
DN119,Porcelain Veneers Grade I,,10000,10000,10000,10000,10000,,,,
DN120,Post & Core,,3500,3500,3500,3500,3500,,,,
DN121,Pulp Capping Dycal,,1800,1800,1800,1800,1800,,,,
DN122,Pulpectomy Grade I (anterior),,2800,2800,2800,2800,2800,,,,
DN123,Pulpectomy Grade II (posterior),,3500,3500,3500,3500,3500,,,,
DN124,Radiology - (IOPA),,300,300,300,300,300,,,,
DN125,Radiology - (Lateral Ceph),,600,600,600,600,600,,,,
DN126,Radiology - (RVG),,300,300,300,300,300,,,,
DN127,RCT 3rd Molar,,7000,7000,7000,7000,7000,,,,
DN128,RCT Anterior,,5000,5000,5000,5000,5000,,,,
DN129,RCT Posterior,,6000,6000,6000,6000,6000,,,,
DN130,RCT single sitting Anterior,,7000,7000,7000,7000,7000,,,,
DN131,RCT single sitting Posterior,,8000,8000,8000,8000,8000,,,,
DN132,Refixing of Crown,,1200,1200,1200,1200,1200,,,,
DN133,Rehabilitation - Flexible Denture Addition per Unit ,,2000,2000,2000,2000,2000,,,,
DN134,Rehabilitation - Flexible Denture single tooth,,8000,8000,8000,8000,8000,,,,
DN135,Rehabilitation - Night Guard,,4000,4000,4000,4000,4000,,,,
DN136,Rehabilitation - Sleep Guard,,4000,4000,4000,4000,4000,,,,
DN137,Rehabilitation - Smile Design Lower,,70000,70000,70000,70000,70000,,,,
DN138,Rehabilitation -Removable Space Maintainer,,3000,3000,3000,3000,3000,,,,
DN139,Rehabilitation-Band & Loop Space Maintainer,,4000,4000,4000,4000,4000,,,,
DN140,Relining Direct Technique,,3500,3500,3500,3500,3500,,,,
DN141,Relining indirect Technique,,5000,5000,5000,5000,5000,,,,
DN142,Removable Appliance Therapy - Bite Plate,,4000,4000,4000,4000,4000,,,,
DN143,Removable Appliance Therapy – HBA- 1,,4000,4000,4000,4000,4000,,,,
DN144,Removable Appliance Therapy - Mouthguards,,4000,4000,4000,4000,4000,,,,
DN145,Removable Appliance Therapy - Oral Screen,,3000,3000,3000,3000,3000,,,,
DN146,Removable Appliance Therapy - Pediatric Obturator,,5000,5000,5000,5000,5000,,,,
DN147,Removable Appliance Therapy - Simple Removable Oth,,8000,8000,8000,8000,8000,,,,
DN148,Removable Appliance Therapy - Trainer Therapy,,9000,9000,9000,9000,9000,,,,
DN149,Removable Appliance Therapy -Thumbsucking Grade 1,,5000,5000,5000,5000,5000,,,,
DN150,Removable Appliance Therapy -Thumbsucking Grade 2,,6000,6000,6000,6000,6000,,,,
DN151,Removable Appliance Therapy -Z-spring appliance,,4500,4500,4500,4500,4500,,,,
DN152,Removable Appliance Therapy-Retainer Remaking Gr 1,,1500,1500,1500,1500,1500,,,,
DN153,Removable Appliance Therapy-Retainer Remaking Gr 2,,2000,2000,2000,2000,2000,,,,
DN154,Removal Appliance Therapy with Retainer,,4500,4500,4500,4500,4500,,,,
DN155,Removal Appliance Therapy with Screw,,10000,10000,10000,10000,10000,,,,
DN156,Repair work of Fractured Denture,,1200,1200,1200,1200,1200,,,,
DN157,Restoration of Cervical abrasion,,600,600,600,600,600,,,,
DN158,Restorations - G.I. Filling,,800,800,800,800,800,,,,
DN159,Restorations - Refixing of Bridge,,12000,12000,12000,12000,12000,,,,
DN160,Restorations-Desensitivity Treatment,,1400,1400,1400,1400,1400,,,,
DN161,Root Canal Treatment - Root Canal Perforation Repa,,5000,5000,5000,5000,5000,,,,
DN162,Root Canal Treatment-Initial Pulp Therapy VPT,,3000,3000,3000,3000,3000,,,,
DN163,RPD,,2000,2000,2000,2000,2000,,,,
DN164,RPD additional per tooth,,800,800,800,800,800,,,,
DN165,Scaling & Polishing Grade I,,2000,2000,2000,2000,2000,,,,
DN166,Scaling & Polishing Grade II,,2500,2500,2500,2500,2500,,,,
DN167,Scaling & Polishing Grade III,,4000,4000,4000,4000,4000,,,,
DN168,Smile Designing,,100000,100000,100000,100000,100000,,,,
DN169,Soft Tissue Management - Curettage ( Per Tooth),,1000,1000,1000,1000,1000,,,,
DN170,Soft Tissue Management - Flap Surgery Grade 1,,6000,6000,6000,6000,6000,,,,
DN171,Soft Tissue Mgmt-Flap Surg Plus Bone Graft gtr Gr1,,16000,16000,16000,16000,16000,,,,
DN172,Soft Tissue Mgmt-Flap Surg Plus Bone Graft gtr Gr2,,20000,20000,20000,20000,20000,,,,
DN173,Soft Tissue Mgmt-Flap Surgery With Bone Graft Gr 1,,12000,12000,12000,12000,12000,,,,
DN174,Soft Tissue Mgmt-Full Mouth Flap Surgery,,35000,35000,35000,35000,35000,,,,
DN175,Soft Tissue Mgmt-Full Mouth Scaling&Polising Gr 1,,2000,2000,2000,2000,2000,,,,
DN176,Soft Tissue Mgmt-Mucogingival Sur Per Tooth Gr 1,,6500,6500,6500,6500,6500,,,,
DN177,Soft Tissue Mgmt-Subgi Scaling&Root Planing Gr1,,1500,1500,1500,1500,1500,,,,
DN178,Soft Tissue Mgmt-Subgi Scaling&Root Planing Gr2,,2000,2000,2000,2000,2000,,,,
DN179,Space Maintainer,,4000,4000,4000,4000,4000,,,,
DN180,Study Model,,1000,1000,1000,1000,1000,,,,
DN181,Temporary Crown,,1500,1500,1500,1500,1500,,,,
DN182,Temporary Filling,,500,500,500,500,500,,,,
DN183,Tooth Re-Implantation,,5000,5000,5000,5000,5000,,,,
DN184, Intra oral Scaling ,,2500,2500,2500,2500,2500,,,,
DN185,Bone Grafting,,3000,3000,3000,3000,3000,,,,
DN186,GTR (small),,1000,1000,1000,1000,1000,,,,
DN187,GTR (Medium),,2000,2000,2000,2000,2000,,,,
DN188,IMF Removal Single Arch,,1500,1500,1500,1500,1500,,,,
DN189,IMF Removal Both Arch,,3000,3000,3000,3000,3000,,,,
DN190,Intra Oral Scelerotherapy(Single Session),,3000,3000,3000,3000,3000,,,,
DN191,Cervical Restoration,,600,600,600,600,600,,,,
DN192,Composite filling Grade - 1,,1000,1000,1000,1000,1000,,,,
DN193,Composite filling with Pulp capping,,1800,1800,1800,1800,1800,,,,
DN194,Cuspal Grinding,,200,200,200,200,200,,,,
DN195,Drainage of Abscess,,800,800,800,800,800,,,,
